Condition,N,Critical_Failure_Rate,CI_95_Lower,CI_95_Upper,Safety,Tool_Use,State_Consistency,Dialogue_Planning,Helpfulness,Avg_Questions_Per_Turn,Guard_Override_Rate,Unexposed_Tool_Rate,Premature_Card_Rate,Avg_Latency_ms,Avg_Tokens,Avg_Model_Calls
A,12,0.0%,0.0%,24.2%,2.00,1.92,2.00,1.96,2.00,0.84,0.0%,0.0%,0.0%,1528.5,17045.8,5.2
B,12,0.0%,0.0%,24.2%,2.00,1.92,2.00,1.79,1.92,1.39,0.0%,0.0%,0.0%,3888.5,9515.1,5.3
C,12,0.0%,0.0%,24.2%,2.00,1.75,1.92,1.75,2.00,1.19,0.0%,0.0%,0.0%,4151.6,9984.8,5.2
D,12,0.0%,0.0%,24.2%,2.00,1.92,2.00,2.00,2.00,1.09,0.0%,0.0%,0.0%,3727.2,8278.7,5.4
